3dr:type,1
4wd_only,3
AIN,9713
ALAND,332
APN,49
AREA,9234
AREAID,335
AWATER,332
Acres,1
Admin_Type,2
Area_sq_mi,1
BLD_ID,9924
BLD_STATUS,368
BOUNDARYST,3
Building_1,2
Building_F,2
Building_I,2
CCR,1
CCR_Int,1
CODE,9272
COUNTYFP,317
Common_Nam,3
DATE_,9924
DFG_URL,1
ELEV,9234
Edit_Date,2
FAA,1
FAA:LFSN,27
FAA:type,6
FG:COND_INDEX,3
FG:GPS_DATE,3
FG:ORG_CODE,3
FG:PROP_NO,3
FG:RTE,3
FG:area,3
FG:lane_miles,3
FG:perimeter,3
FG:photo,3
FG:route,3
FG:rte_description,3
FG:station,3
FG:visitors,3
FIXME,1733
FIXME:NHS,43
FIXME:access,1
FIXME:bicycle,91
FIXME:cycleway,33
FIXME:highway,16
FIXME:landuse,1
FIXME:lanes,32
FIXME:man_made,2
FIXME:maxspeed,20
FIXME:name,6
FIXME:natural,5
FIXME:old_ref,20
FIXME:old_ref:legislative,3
FIXME:ref,9
FIXME:tracktype,3
FMMP_modified,669
FMMP_reviewed,669
FULLNAME,1
Federal_En,2
GIS_ACRES,3
Geometry_I,2
HEIGHT,11309
Hectares,1
ID,16
InBld_FID,368
Is_Extant,2
Is_Sensiti,2
Locust,1
MTFCC,333
Map_Method,2
Map_Source,2
Modsuts,1
NHD:ComID,789
NHD:FCode,964
NHD:FDate,18
NHD:FTYPE,18
NHD:FType,946
NHD:GNIS_ID,13
NHD:GNIS_Name,13
NHD:Permanent_,18
NHD:RESOLUTION,771
NHD:ReachCode,962
NHD:Resolution,18
NHD:way_id,771
NHS,3251
NOTES,2336
NRHP,3
Name,37
NavigateLA:highway,18
Note,1
OBJECTID,2
OBJECTID_1,2
Open_Date,45
PLSS:state,1
Polygon_Ty,2
SHAPE_Area,5
SHAPE_Leng,5
SHORTNAME,1
SOURCE,9204
STATEFP,317
Services offered,1
Shape_Area,9924
Shape_Leng,9924
Source,1
Source_Dat,2
Specialist,1
Street,1
Study_Regi,1
SustainableWorks,1
TODO,1
TYPE,2269
Tiger:MTFCC,454
Type,3
UPA 13,1
Unit_Code,2
WILDERNESS,3
YDS,2
_id,5953758
abandoned,16
abandoned:access,1
abandoned:aeroway,5
abandoned:amenity,2
abandoned:highway,8
abandoned:hov,1
abandoned:lanes,1
abandoned:oneway,1
abandoned:tourism,1
abbr_name,2
abutters,532
acc,1
access,25439
access:conditional,16
access:disabled,6
access:emergency,1
access:lanes,2
access:lanes:backward,10
access:lanes:forward,8
accuracy,51
accuracy:horizontal,1
accuracy:vertical,1
acres,556
addr,4
address,5953758
admin_level,681
administrative,8
advertising,3
aerialway,163
aerialway:occupancy,43
aerodrome,1
aerodrome:type,2
aeroway,1896
agency,36
aircraft:type,1
airlines,2
alcohol,14
alt_name,1462
alt_name_1,12
alt_name_2,3
alt_ref,1
amenity,35675
amenity_1,4
amenity_2,1
american_football,3
amusement,1
animal,2
animal_boarding,2
animal_keeping,5
animal_keeping:type,9
ant_sys_ref,48
ant_sys_ref:day,12
ant_sys_ref:night,12
antenna,47
apn,370
architect,2
area,6789
area:highway,25
artist_name,7
artwork:type,2
artwork_type,22
asset_ref,2
atm,375
atm:drive_through,1
atm:network,9
atm:operator,5
attendant,1
attraction,78
attribution,1792
authorized,3
automated,71
automatic,1
backcountry,3
backrest,135
bad_maxspeed,160
bad_name,1
bak:fac_type1,1
bak:fac_type2,1
balcony,1
bar,15
bar:name,1
barbed_wire,1
barn,1
barrier,18170
barrier:key,35
barrier:keypad,6
barrier:magnetic_stripe,4
barrier:personnel,8
barrier:rfid,1
baseball,6
basin,31
beacon,53
beacon:colour,40
beacon:shape,1
beacon:text,1
bench,51
bicycle,16515
bicycle:access:note,11
bicycle:lanes:backward,10
bicycle:lanes:forward,8
bicycle_parking,37
bicycle_road,4
bike,8
bing,1
bitcoin:address,1
block,6
block_type,5
board_type,27
boat,195
bollard,13
books,5
border_type,444
bottle,27
boundary,806
boundary:type,4
boundary_type,19
branch,34
branch:type,2
branch_type,1
brand,576
brewery,1
brewery:minage,1
bridge,10519
bridge:alt_name,1
bridge:name,1
bridge_name,1001
bridge_ref,1043
bridge_type,39
builder,82
building,135681
building:color,41
building:colour,83
building:colour_1,1
building:facade,1
building:facade:material,1
building:flats,83
building:height,7
building:historic,1
building:levels,1820
building:levels:aboveground,8
building:levels:belowground,1
building:levels:underground,2
building:material,98
building:min_level,7
building:min_levels,1
building:part,142
building:use,477
building_1,113
building_2,1
building_type,32
buoy,74
buoy:colour,73
buoy:shape,1
buoy:text,11
bus,362
busway,3
button,1
button_operated,12
cabins,2
cables,831
caltrans:district,200
caltrans:dynsegpm,83
caltrans:pctuse,113
caltrans:type,83
camera:mount,18
camera:type,18
camera_rentals,1
camping,5
campus,1
canoe_rental,1
capacity,500
capacity:disabled,43
capacity:parent,12
capacity:women,12
car_wash,26
caravans,4
cargo,1
cat,1
category,1
census:population,91
census:population_1,1
centre_turn_lane,4
change:lanes,7
change:lanes:forward,1
channel,8
charge,8
church:type,1
cinema:3D,1
circuits,481
city,23
city_served,2
closed,2
closest_town,34
clothes,13
club,1
collection_times,14
color,363
colour,251
comment,6
communication,1
communication:mobile_phone,2
communications_transponder:service,1
community,1
community:gender,1
community_centre,4
community_centre:access,4
community_centre:name,1
community_centre:wheelchair,1
complete:turn_restrictions,1
composting,2
condition,3
conservation,1
construction,491
construction:date,37
construction:highway,1
construction:operator,35
construction:railway,13
contact:email,9
contact:facebook,3
contact:facebook:es,1
contact:fax,4
contact:phone,66
contact:phone_1,1
contact:twitter:1,1
contact:twitter:2,1
contact:website,25
content,85
contents,9
converter,1
conveying,1
cooking,1
cost,1
country,4
court:reporter,1
courts,36
covered,429
craft,28
crane:note,2
crane:type,29
created,5953758
created_by,17515
crop,3
crossing,4658
crossing:barrier,13
crossing:bell,13
crossing:light,17
crossing_ref,63
csp:globalid,97
csp:unitcode,97
cuisine,2886
cutline,145
cutting,208
cyc,1
cycle,2
cyclerating,350
cyclestreets_id,1
cycleway,3876
cycleway:backward,3
cycleway:left,5
cycleway:right,51
date_off,3
date_on,3
day_off,6
day_off_1,3
day_on,6
day_on_1,3
daytime_headlight,2
daytime_headlinghts,5
deaf,2
delivery,28
demolished:amenity,2
demolished:bicycle,3
demolished:building,3
demolished:hgv,1
demolished:hgv:national_network,1
demolished:highway,17
demolished:hov,1
demolished:landuse,1
demolished:lanes,2
demolished:leisure,2
demolished:name,2
demolished:name_1,1
demolished:oneway,3
demolished:parking,1
demolished:power,1
demolished:ref,1
demolished:short_name,1
demolished:source,2
demolished:source:hgv:national_network,1
demolished:surface,1
denomination,1930
denotation,1
description,2369
description:en,369
design,275
designation,706
destination,1386
destination:backward,1
destination:forward,1
destination:lanes,22
destination:ref,333
destination:ref:lanes,13
destination:ref:to,2
developer,1
diameter,5
diesel,2
diet:kosher,1
diet:vegan,5
diet:vegetarian,13
diocese,1
dircetions,1
direction,156
direction_part_of_name,6
directions,103
disabled,1
disabled_spaces,2
disc_golf,1
dispensing,107
display,3
distance,9
district,57
disused,114
disused:access,8
disused:aeroway,2
disused:amenity,28
disused:atm,2
disused:attribution,1
disused:barrier,5
disused:builder,1
disused:building,3
disused:bus,16
disused:caltrans:district,1
disused:caltrans:pctuse,1
disused:cuisine,1
disused:description,1
disused:ele,1
disused:emergency,4
disused:gnis:county_id,1
disused:gnis:created,1
disused:gnis:feature_id,1
disused:gnis:state_id,1
disused:highway,25
disused:landuse,7
disused:lanes,1
disused:leisure,1
disused:lot_no,1
disused:maxspeed,1
disused:name,22
disused:office,4
disused:oneway,5
disused:operator,10
disused:phone,2
disused:proposed,3
disused:psv,4
disused:public_transport,22
disused:railway,3
disused:ref,8
disused:restaurant,2
disused:route,1
disused:service,1
disused:shop,16
disused:source,1
disused:source_ref,1
disused:toilets,1
disused:toilets:access,1
disused:tourism,6
disused:train,1
disused:vending,2
divider,5
doctors,1
doctors:name,1
dog,5
dogs,1
drink:beer,2
drink:coca_cola,1
drink:soft_drink,1
drinkable,1
drinking_water,19
drinking_water:legal,4
drive_in,5
drive_in:name,1
drive_through,507
drive_thru,1
duration,7
education,6
ele,15129
electrified,2274
elevation,1
email,132
email_2,1
embankment,35
emergency,1895
emergency_service,17
emergency_vehicles,1
end_date,15
enterance,3
entrance,1005
entrance:type,2
equipment,10
erotic,1
erp,3
erp:day,12
erp:night,12
escalator,10
escalator_dir,3
est,2
est.,3
est_width,5
ethanol,1
exit_to,1494
exit_to:left,49
exit_to:right,65
exit_to_dir,8
faa,38
faa:lfsn,1
facebook,8
facebook:es,1
farm,1
farmland,2
fast_food,2
fast_food:name,1
fastpass,41
fax,163
feature,1
feature_1,1
fee,714
fee:customer,1
fee:description,7
female,12
fence,18
fence:type,3
fence_type,135
fenced,7
field_name,5
finely_mow,1
fire,5
fire_hydrant:position,52
fire_hydrant:type,375
fire_hydrant:water_source,1
firearms,3
fireplace,5
fireworks,3
fixme,530
flag:type,1
flashing_lights,1
floating,85
flood_prone,3
floor_plan,1
floors,1
food,4
foot,5748
footway,8375
ford,139
ford:intermittent,1
forestry,1
foursquare,1
frequency,595
fuel,2
fuel:100LL,1
fuel:HGV_diesel,1
fuel:biodiesel,6
fuel:biofuel,1
fuel:biogas,3
fuel:cng,8
fuel:diesel,224
fuel:e10,1
fuel:e85,4
fuel:electricity,1
fuel:ethanol,1
fuel:gasoline,3
fuel:jet_A,1
fuel:lpg,3
fuel:octane_100,1
fuel:octane_80,1
fuel:octane_87,2
fuel:octane_89,2
fuel:octane_91,12
fuel:octane_92,1
fuel:octane_93,1
fuel:octane_95,3
fuel:octane_98,1
fuel:propane,16
fuel:unleaded,1
fullcourt,1
gambling,7
garden,1
garden:style,1
garden:type,6
gate,1
gate:type,2
gauge,4068
gay,7
generator:method,112
generator:output:cold_water,1
generator:output:electricity,116
generator:output:hot_water,1
generator:output:steam,1
generator:source,142
generator:type,64
genus,86
genus:en,3
geological,1
glass,1
glider,1
gluten_free,1
gnis:Class,922
gnis:County,924
gnis:County_num,922
gnis:ST_alpha,922
gnis:ST_num,922
gnis:county,3
gnis:county_id,10491
gnis:county_name,1833
gnis:created,10904
gnis:edited,633
gnis:fcode,8678
gnis:feature,1
gnis:feature_id,12549
gnis:feature_type,411
gnis:ftype,8149
gnis:id,2626
gnis:import_uuid,1421
gnis:name,1
gnis:reviewed,1377
gnis:state_id,10494
golf,1155
golf:course,19
golf:course:holes,4
golf:course:length,4
golf:course:par,4
golf:course:rating,4
golf:course:slope,4
golf:course:tee_names,1
golf:courses,1
golf:designer,1
golf:length:black,1
golf:length:blue,1
golf:length:red,1
golf:length:white,1
golf:length_unit,2
golf:par,12
golf_cart,100
google_plus,1
grades,27
grooming,1
group_only,3
guide_track,39
guidepost,9
handicap,3
handicapped,1
handicapped_accessible,3
handrail,3
handrail:right,1
harbour,3
hazmat,1
hazmat:0,1
hazmat:2,1
hazmat:3,1
hazmat:ox,1
heading,13
heading:magnetic,5
healthcare,7
healthcare:speciality,1
height,1480
height_requirement,1
heritage,5
heritage:operator,1
hgv,9557
hgv:conditional,1
hgv:hour_off,1
hgv:hour_on,1
hgv:minaxles,103
hgv:minweight,103
hgv:national_network,5029
hgv:state_network,338
highway,463913
highway_1,1
hih,1
hiking,4
hint,1
historic,398
historic:amenity,1
historic:denomination,1
historic:ref,1
historic:religion,1
history,75
hold1,1
hold2,1
hold3,1
holliday_name,1
home,1
hoops,17
horse,2126
hour_off,2
hour_on,2
house,1
housing_type,39
hov,3314
hov:lanes,22
hov:minimum,229
hov:minpeople,31
hunting,2
iata,30
icao,34
ice_road,4
id,5953758
image,117
image_direction,5027
import_uuid,920
impromptu,4
in_service,4
incline,100
indoor,124
industrial,6
informal,1
information,102
inscription,6
inside_submarine_view,1
int_name,11
intermittent,6402
internet_access,95
internet_access:fee,19
internet_access:ssid,1
is_in,1471
is_in:city,840
is_in:continent,25
is_in:country,12229
is_in:country_code,12208
is_in:county,737
is_in:iso_3166_2,185
is_in:state,12205
is_in:state_code,14562
is_in:suburb,5
isced:level,3
jhi,1
ji,18
junction,374
kart,7
kayak_rental,1
kerb,225
key,8
keygnis:state_id,1
kiosk,1
lamp_type,15
landmark,2
landuse,20078
landuse_1,1
lanes,25119
lanes:backward,413
lanes:both_ways,10
lanes:forward,438
language,2
latitude,463
laundry_service,1
layer,12516
layover,1
lcn,27
leaf_cycle,6
leaf_type,127
legal:video,1
leisure,17769
leisure_1,2
length,19
level,391
levels,5
library,1
library:access,1
license,1
licensee:FRN,16
licensee:name,16
licensee:phone,16
lift:stop layers,2
light,65
limit,1
line,14
linear_ref,1
link,4
link:google_plus,1
lit,477
loc_name,411
loc_name:note,1
local_name,1
local_ref,71
locality,1
location,207
longitude,463
lot,8
lot_no,113
male,13
man_made,3373
managed:Mgt_Co,1
manufacturer,1
maritime,7
mascot,1
material,712
max_age,1
maxheight,231
maxlength,1
maxpower_radiated,1
maxspeed,16064
maxspeed:advisory,320
maxspeed:advisory:backward,3
maxspeed:advisory:forward,10
maxspeed:backward,27
maxspeed:children_present,441
maxspeed:forward,26
maxspeed:forward:children_present,2
maxspeed:hgv,1685
maxspeed:practical,5
maxspeed:recommended,3
maxspeed:suggested,6
maxspeed:towing,823
maxspeed:trailer,858
maxspeed:truck,104
maxspeed:type,37
maxstay,23
maxweight,302
maxwidth,1
medical,2
membership,1
memorial,2
memorial:type,1
method,2
microbrewery,11
milepost,53
milepost:county,1371
milepost:rail,6
milepost:state,112
military,14
min_age,3
min_height,28
minimum_height_requirement,38
modifier,2
monitoring:bicycle,1
monitoring:e_zpass,2
monitoring:water_level,85
monitoring_station,2
mooring,1
motor,1
motor_vehicle,1551
motor_vehicle:lanes,16
motorcar,484
motorcycle,332
mountain_pass,2
mown,30
mtb:description,1
mtb:scale,29
mtb:scale:imba,7
mtb:scale:uphill,4
mtb:type,2
multistorey,2
museum,1
name,288999
name:alt,1
name:ar,36
name:ast,1
name:ba,1
name:bn,1
name:botanical,1
name:de,12
name:en,38
name:es,6
name:et,1
name:fr,8
name:full,17
name:he,14
name:hi,1
name:historic,1
name:historic:1915,2
name:historic:1918,1
name:historic:1919,1
name:historic:1924,2
name:historic:1928,1
name:historic:1935,1
name:historic:1945,1
name:historic:1952,1
name:historic:1955,1
name:historic:1956,2
name:historic:1960,1
name:historic:1970,1
name:historic:1977,1
name:historic:1980,1
name:historic:1984,1
name:historic:1986,2
name:historic:1990,1
name:historic:1999,1
name:hu,1
name:id,1
name:ja,1
name:kn,1
name:ko,1
name:lt,2
name:lv,1
name:nl,2
name:note,1
name:old,1
name:prefix,1472
name:pt,1
name:ru,42
name:shortened,1
name:source,1
